Area_slug,Area_display,Region,Year,Value,variable,Households,Avg_Family_Income,Price,Price_to_Income
nueva ecija,Nueva Ecija,Region III (Central Luzon),2026,218527.32354400004,FamilyIncome_Total,673346.9755078806,324538.9546439605,,
nueva ecija,Nueva Ecija,Region III (Central Luzon),2027,231638.96295664005,FamilyIncome_Total,689363.8859027048,336018.41885481804,,
nueva ecija,Nueva Ecija,Region III (Central Luzon),2028,245537.3007340385,FamilyIncome_Total,705758.5969094025,347905.5045298412,,
nueva ecija,Nueva Ecija,Region III (Central Luzon),2029,260269.5387780808,FamilyIncome_Total,722539.9440456135,360214.74096060515,,
olongapo,Olongapo,Region III (Central Luzon),2024,24236.46,FamilyIncome_Total,74553.89250821441,325086.4466577598,,
olongapo,Olongapo,Region III (Central Luzon),2025,25690.6476,FamilyIncome_Total,76327.99762375592,336582.22932346625,,
olongapo,Olongapo,Region III (Central Luzon),2026,27232.086456000005,FamilyIncome_Total,78143.96606692595,348486.1061783995,,
olongapo,Olongapo,Region III (Central Luzon),2027,28866.011643360005,FamilyIncome_Total,80002.77727112878,360812.6196111082,,
olongapo,Olongapo,Region III (Central Luzon),2028,30597.97234196161,FamilyIncome_Total,81905.43338630346,373576.83216994395,,
olongapo,Olongapo,Region III (Central Luzon),2029,32433.850682479308,FamilyIncome_Total,83852.95980116597,386794.34523703385,,
pampanga,Pampanga,Region III (Central Luzon),2024,251756.6,FamilyIncome_Total,643912.2646849422,390979.6626147216,,
pampanga,Pampanga,Region III (Central Luzon),2025,266861.99600000004,FamilyIncome_Total,659234.9796271782,404805.5765349715,,
pampanga,Pampanga,Region III (Central Luzon),2026,282873.71576000005,FamilyIncome_Total,674919.2626806642,419122.3030684795,,
pampanga,Pampanga,Region III (Central Luzon),2027,299846.13870560005,FamilyIncome_Total,690973.5730842171,433947.3322651288,,
pampanga,Pampanga,Region III (Central Luzon),2028,317836.9070279361,FamilyIncome_Total,707406.5662764076,449298.7797681065,,
pampanga,Pampanga,Region III (Central Luzon),2029,336907.1214496123,FamilyIncome_Total,724227.0984060974,465195.409272987,,
paranaque,Parañaque,NCR,2024,114375.68,FamilyIncome_Total,193536.1558885037,590978.3599602542,,
paranaque,Parañaque,NCR,2025,119514.35194184491,FamilyIncome_Total,194271.2577826863,615193.1752845026,,
paranaque,Parañaque,NCR,2026,124883.89419917807,FamilyIncome_Total,195009.1517897551,640400.1712382142,,
paranaque,Parañaque,NCR,2027,130494.67931634311,FamilyIncome_Total,195749.8485148992,666640.0015446792,,
paranaque,Parañaque,NCR,2028,136357.5458554782,FamilyIncome_Total,196493.3586035884,693954.9856775058,,
paranaque,Parañaque,NCR,2029,142483.81933377692,FamilyIncome_Total,197239.69274172743,722389.1771133016,,
pasay city,Pasay City,NCR,2024,58005.62,FamilyIncome_Total,135557.94244135442,427902.77688889095,,
pasay city,Pasay City,NCR,2025,60611.69720070665,FamilyIncome_Total,136072.8276306497,445435.7145074435,,
pasay city,Pasay City,NCR,2026,63334.86026957591,FamilyIncome_Total,136589.66849110206,463687.0487294709,,
pasay city,Pasay City,NCR,2027,66180.36964191741,FamilyIncome_Total,137108.47245087186,482686.2152200761,,
pasay city,Pasay City,NCR,2028,69153.72209394029,FamilyIncome_Total,137629.24696633327,502463.8557446776,,
pasay city,Pasay City,NCR,2029,72260.66136108409,FamilyIncome_Total,138151.9995221821,523051.8675879295,,
pasig,Pasig,NCR,2024,130765.02,FamilyIncome_Total,226121.086555972,578296.4428115446,24603397.254262622,42.54461109019891
pasig,Pasig,NCR,2025,136640.03240865885,FamilyIncome_Total,226979.9547001635,601991.6278032478,24707230.875553377,41.042482543675135
pasig,Pasig,NCR,2026,142778.99744625262,FamilyIncome_Total,227842.0850544404,626657.7020313747,24811502.705470294,39.593389860271856
